Year,GeogName,GeogID,Borough,TotalPop,Hispanic/Latino,White,Black,AmericanIndian,Asian,Puerto Rican
2013,Brooklyn Heights-Cobble Hill                                   ,BK09,Brooklyn,"23,945","1,866","18,242","1,171",15,"1,607",556
2013,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,Brooklyn,"63,033","4,562","44,000","3,888",37,"10,015","1,857"
2013,Brighton Beach                                                 ,BK19,Brooklyn,"32,442","4,334","22,463",419,158,"4,413",677
2013,Seagate-Coney Island                                           ,BK21,Brooklyn,"28,748","6,108","8,668","9,798",27,"3,732","4,175"
2013,West Brighton                                                  ,BK23,Brooklyn,"15,309",121,"14,894",163,0,102,22
2013,Homecrest                                                      ,BK25,Brooklyn,"43,198","3,237","34,130",419,37,"4,589",640
2013,Gravesend                                                      ,BK26,Brooklyn,"28,502","3,850","15,333","2,148",128,"6,836","1,735"
2013,Bath Beach                                                     ,BK27,Brooklyn,"29,356","3,862","15,487",487,63,"9,139","1,338"
2013,Bensonhurst West                                               ,BK28,Brooklyn,"88,895","13,024","41,020",558,183,"33,185","2,683"
2013,Bensonhurst East                                               ,BK29,Brooklyn,"60,022","7,047","29,363",735,0,"22,034","1,726"
2013,Dyker Heights                                                  ,BK30,Brooklyn,"45,977","4,580","23,047",250,17,"17,673","1,743"
2013,Bay Ridge                                                      ,BK31,Brooklyn,"84,830","13,923","55,443","1,391",211,"12,155","5,983"
2013,Sunset Park West                                               ,BK32,Brooklyn,"56,291","35,424","9,673","1,852",87,"8,395","9,543"
2013,Carroll Gardens-Columbia Street-Red Hook                       ,BK33,Brooklyn,"39,597","8,558","23,681","4,230",15,"2,248","4,829"
2013,Sunset Park East                                               ,BK34,Brooklyn,"72,614","23,465","9,030","1,214",434,"37,592","5,990"
2013,Stuyvesant Heights                                             ,BK35,Brooklyn,"64,752","13,702","3,082","45,354",83,"1,826","6,419"
2013,Park Slope-Gowanus                                             ,BK37,Brooklyn,"73,770","12,938","48,759","3,941",344,"4,906","5,498"
2013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum H                  ,BK38,Brooklyn,"37,442","8,609","16,231","8,141",62,"3,298","4,847"
2013,Windsor Terrace                                                ,BK40,Brooklyn,"21,983","3,054","14,580","1,337",54,"2,344","1,252"
2013,Kensington-Ocean Parkway                                       ,BK41,Brooklyn,"36,935","5,264","18,637","2,892",99,"9,100","1,431"
2013,Flatbush                                                       ,BK42,Brooklyn,"105,491","18,893","23,509","51,360",88,"9,332","3,813"
2013,Midwood                                                        ,BK43,Brooklyn,"50,921","3,643","39,121","2,373",22,"5,059",985
2013,Madison                                                        ,BK44,Brooklyn,"40,479","2,645","28,405",270,15,"8,788",443
2013,Georgetown-Marine Park-Bergen Beach-Mill Basi                  ,BK45,Brooklyn,"47,810","4,524","34,585","5,249",0,"2,478","2,041"
2013,Ocean Parkway South                                            ,BK46,Brooklyn,"19,877","1,698","17,032",97,102,721,350
2013,Canarsie                                                       ,BK50,Brooklyn,"86,491","6,749","4,626","71,367",321,"2,402","3,186"
2013,Flatlands                                                      ,BK58,Brooklyn,"71,015","5,494","12,245","49,785",64,"2,257","2,144"
2013,Prospect Lefferts Gardens-Wingate                              ,BK60,Brooklyn,"68,664","6,841","7,747","51,313",87,"1,389","2,151"
2013,Crown Heights North                                            ,BK61,Brooklyn,"102,336","11,836","11,928","73,218",213,"2,826","4,801"
2013,Crown Heights South                                            ,BK63,Brooklyn,"41,262","3,729","10,616","25,719",95,659,"1,036"
2013,Prospect Heights                                               ,BK64,Brooklyn,"20,919","2,806","10,694","5,149",0,"1,478",793
2013,Fort Greene                                                    ,BK68,Brooklyn,"28,023","5,560","7,720","11,019",4,"2,500","2,756"
2013,Clinton Hill                                                   ,BK69,Brooklyn,"36,452","5,856","14,036","13,284",50,"1,844","1,671"
2013,Williamsburg                                                   ,BK72,Brooklyn,"31,723","3,071","27,650",785,0,35,"1,555"
2013,North Side-South Side                                          ,BK73,Brooklyn,"49,551","19,017","25,584","1,165",51,"2,490","8,130"
2013,Bedford                                                        ,BK75,Brooklyn,"71,078","13,086","20,867","33,640",160,"2,090","5,866"
2013,Greenpoint                                                     ,BK76,Brooklyn,"31,875","4,433","24,479",340,114,"1,810","1,320"
2013,Bushwick North                                                 ,BK77,Brooklyn,"63,780","46,692","7,001","5,747",14,"3,768","11,317"
2013,Bushwick South                                                 ,BK78,Brooklyn,"73,958","44,553","7,720","18,790",303,"1,820","17,371"
2013,Ocean Hill                                                     ,BK79,Brooklyn,"31,558","5,492",619,"24,766",17,248,"3,171"
2013,Brownsville                                                    ,BK81,Brooklyn,"58,463","10,095",576,"46,595",75,494,"4,568"
2013,East New York                                                  ,BK82,Brooklyn,"92,806","25,455","1,481","62,397",150,"1,937","10,452"
2013,Cypress Hills-City Line                                        ,BK83,Brooklyn,"46,545","28,370","2,557","11,438",50,"3,131","8,565"
2013,East New York (Pennsylvania Ave)                               ,BK85,Brooklyn,"29,906","9,046",288,"20,219",11,236,"3,594"
2013,Borough Park                                                   ,BK88,Brooklyn,"106,342","11,245","80,550",587,69,"13,515","2,320"
2013,East Williamsburg                                              ,BK90,Brooklyn,"33,675","10,966","15,788","2,727",29,"3,793","5,490"
2013,East Flatbush-Farragut                                         ,BK91,Brooklyn,"52,714","3,072",825,"47,407",14,497,918
2013,Starrett City                                                  ,BK93,Brooklyn,"12,848","2,909","3,404","5,858",0,496,"1,656"
2013,Erasmus                                                        ,BK95,Brooklyn,"29,088","2,756",418,"24,711",1,672,531
2013,Rugby-Remsen Village                                           ,BK96,Brooklyn,"56,135","2,626",724,"51,354",196,549,989
2013,park-cemetery-etc-Brooklyn                                     ,BK99,Brooklyn,,,,,NA,,
2013,Claremont-Bathgate                                             ,BX01,Bronx,"31,566","17,463",320,"13,321",121,38,"7,824"
2013,Eastchester-Edenwald-Baychester                                ,BX03,Bronx,"36,523","8,548","1,144","25,705",185,129,"5,249"
2013,Bedford Park-Fordham North                                     ,BX05,Bronx,"53,053","37,105","4,312","8,641",0,"2,209","11,460"
2013,Belmont                                                        ,BX06,Bronx,"26,180","15,245","5,475","4,691",67,460,"5,394"
2013,Bronxdale                                                      ,BX07,Bronx,"34,506","17,493","4,501","10,408",88,"1,464","8,038"
2013,West Farms-Bronx River                                         ,BX08,Bronx,"35,836","23,347",758,"9,338",59,"1,279","9,620"
2013,Soundview-Castle Hill-Clason Point-Harding Pa                  ,BX09,Bronx,"53,922","32,878",704,"18,550",25,976,"20,800"
2013,Pelham Bay-Country Club-City Island                            ,BX10,Bronx,"26,618","8,865","15,769",568,0,"1,112","5,647"
2013,Co-Op City                                                     ,BX13,Bronx,"45,986","13,621","3,831","27,365",133,608,"8,747"
2013,East Concourse-Concourse Village                               ,BX14,Bronx,"62,937","37,329","1,094","22,546",271,971,"11,562"
2013,East Tremont                                                   ,BX17,Bronx,"43,156","29,613",740,"11,866",8,496,"13,527"
2013,North Riverdale-Fieldston-Riverdale                            ,BX22,Bronx,"26,770","4,796","17,687","1,840",0,"1,989","1,699"
2013,Highbridge                                                     ,BX26,Bronx,"37,304","24,097",300,"12,491",108,127,"6,983"
2013,Hunts Point                                                    ,BX27,Bronx,"27,666","21,027",471,"5,813",37,55,"10,410"
2013,Van Cortlandt Village                                          ,BX28,Bronx,"50,185","32,676","5,504","9,581",201,"1,571","10,750"
2013,Spuyten Duyvil-Kingsbridge                                     ,BX29,Bronx,"30,053","10,722","14,452","2,247",48,"1,601","3,501"
2013,Kingsbridge Heights                                            ,BX30,Bronx,"29,981","21,175",772,"6,316",15,"1,487","5,212"
2013,Allerton-Pelham Gardens                                        ,BX31,Bronx,"33,408","10,353","9,150","10,545",82,"2,463","6,186"
2013,Longwood                                                       ,BX33,Bronx,"26,718","19,323",335,"6,570",8,234,"8,328"
2013,Melrose South-Mott Haven North                                 ,BX34,Bronx,"39,482","26,460","1,089","11,281",150,204,"10,600"
2013,Morrisania-Melrose                                             ,BX35,Bronx,"37,926","23,505",378,"13,200",102,125,"9,177"
2013,University Heights-Morris Heights                              ,BX36,Bronx,"54,132","35,605",783,"16,211",10,772,"9,346"
2013,Van Nest-Morris Park-Westchester Square                        ,BX37,Bronx,"29,768","16,490","7,192","2,809",15,"2,666","7,716"
2013,Mott Haven-Port Morris                                         ,BX39,Bronx,"52,971","37,821",865,"13,469",89,399,"17,530"
2013,Fordham South                                                  ,BX40,Bronx,"26,947","19,247",449,"6,795",79,235,"6,077"
2013,Mount Hope                                                     ,BX41,Bronx,"52,435","36,046",731,"13,676",118,989,"8,837"
2013,Norwood                                                        ,BX43,Bronx,"41,549","24,139","4,230","7,951",148,"4,079","9,129"
2013,Williamsbridge-Olinville                                       ,BX44,Bronx,"62,345","14,164","1,430","44,260",408,969,"7,344"
2013,Parkchester                                                    ,BX46,Bronx,"30,435","10,269","1,101","13,871",0,"4,656","6,822"
2013,Pelham Parkway                                                 ,BX49,Bronx,"30,249","11,749","11,267","2,997",10,"3,461","4,573"
2013,Schuylerville-Throgs Neck-Edgewater Park                       ,BX52,Bronx,"47,622","19,099","21,937","3,864",164,"1,467","12,748"
2013,Soundview-Bruckner                                             ,BX55,Bronx,"36,306","22,588",690,"8,864",168,"2,588","9,248"
2013,Westchester-Unionport                                          ,BX59,Bronx,"28,035","17,581","1,434","4,340",15,"3,698","9,246"
2013,Woodlawn-Wakefield                                             ,BX62,Bronx,"44,676","7,638","7,482","27,271",13,"1,473","3,342"
2013,West Concourse                                                 ,BX63,Bronx,"39,234","27,518",662,"9,024",61,"1,374","6,014"
2013,Crotona Park East                                              ,BX75,Bronx,"20,075","13,872",239,"5,569",0,126,"5,332"
2013,Rikers Island                                                  ,BX98,Bronx,"9,191","3,159",594,"5,169",0,202,"1,831"
2013,park-cemetery-etc-Bronx                                        ,BX99,Bronx,,,,,NA,,
2013,Marble Hill-Inwood                                             ,MN01,Manhattan,"49,933","37,338","7,256","3,711",19,719,"4,892"
2013,Central Harlem North-Polo Grounds                              ,MN03,Manhattan,"79,373","18,948","6,412","49,250",250,"2,351","6,724"
2013,Hamilton Heights                                               ,MN04,Manhattan,"51,007","24,926","7,390","16,374",85,859,"2,466"
2013,Manhattanville                                                 ,MN06,Manhattan,"23,566","13,726","2,230","6,096",0,858,"1,902"
2013,Morningside Heights                                            ,MN09,Manhattan,"56,072","13,046","26,275","6,693",49,"7,956","3,439"
2013,Central Harlem South                                           ,MN11,Manhattan,"48,111","8,457","8,882","27,809",16,"1,864","3,127"
2013,Upper West Side                                                ,MN12,Manhattan,"136,393","19,938","91,812","11,241",220,"9,851","6,452"
2013,Hudson Yards-Chelsea-Flat Iron-Union Square                    ,MN13,Manhattan,"73,003","10,710","46,551","4,342",294,"8,783","4,065"
2013,Lincoln Square                                                 ,MN14,Manhattan,"59,879","5,797","44,051","2,035",18,"6,733","2,447"
2013,Clinton                                                        ,MN15,Manhattan,"41,647","8,409","24,483","2,442",0,"5,386","2,780"
2013,Midtown-Midtown South                                          ,MN17,Manhattan,"28,234","2,121","18,678","1,121",51,"5,460",526
2013,Turtle Bay-East Midtown                                        ,MN19,Manhattan,"48,597","3,553","36,530",966,113,"6,704",934
2013,Murray Hill-Kips Bay                                           ,MN20,Manhattan,"48,264","5,306","32,081","2,177",16,"7,379","1,721"
2013,Gramercy                                                       ,MN21,Manhattan,"26,864","1,797","20,018",791,68,"3,217",642
2013,East Village                                                   ,MN22,Manhattan,"43,684","4,927","29,235","2,291",45,"6,060","1,772"
2013,West Village                                                   ,MN23,Manhattan,"66,550","3,898","53,302","1,258",130,"5,870",588
2013,SoHo-TriBeCa-Civic Center-Little Italy                         ,MN24,Manhattan,"41,866","2,401","27,709",861,31,"9,180",416
2013,Battery Park City-Lower Manhattan                              ,MN25,Manhattan,"40,594","3,880","26,157","1,208",49,"8,208","1,288"
2013,Chinatown                                                      ,MN27,Manhattan,"46,371","5,977","7,475","1,946",327,"29,295","2,199"
2013,Lower East Side                                                ,MN28,Manhattan,"75,660","29,885","16,828","7,227",40,"19,186","20,102"
2013,Lenox Hill-Roosevelt Island                                    ,MN31,Manhattan,"79,227","5,784","59,767","3,679",0,"8,210","1,291"
2013,Yorkville                                                      ,MN32,Manhattan,"78,036","7,651","59,764","2,255",17,"6,741","3,095"
2013,East Harlem South                                              ,MN33,Manhattan,"58,937","25,635","11,660","14,259",0,"5,741","14,275"
2013,East Harlem North                                              ,MN34,Manhattan,"58,820","29,093","4,892","20,804",22,"2,943","14,173"
2013,Washington Heights North                                       ,MN35,Manhattan,"73,111","47,731","18,871","3,487",36,"2,092","4,480"
2013,Washington Heights South                                       ,MN36,Manhattan,"88,211","64,601","9,479","9,821",94,"2,319","4,592"
2013,Upper East Side-Carnegie Hill                                  ,MN40,Manhattan,"58,745","3,110","50,560",835,113,"3,067",612
2013,Stuyvesant Town-Cooper Village                                 ,MN50,Manhattan,"22,996","1,655","16,565",799,12,"3,482",807
2013,park-cemetery-etc-Manhattan                                    ,MN99,Manhattan,,,,,NA,,
2013,South Jamaica                                                  ,QN01,Queens,"39,008","6,740",246,"25,900",332,"2,540","2,175"
2013,Springfield Gardens North                                      ,QN02,Queens,"26,525","2,189",322,"23,640",0,214,"1,231"
2013,Springfield Gardens South-Brookville                           ,QN03,Queens,"20,077","1,475",289,"17,389",0,363,732
2013,Rosedale                                                       ,QN05,Queens,"27,915","2,097","1,395","23,171",27,951,"1,122"
2013,Jamaica Estates-Holliswood                                     ,QN06,Queens,"25,944","3,473","6,424","6,851",74,"7,835",451
2013,Hollis                                                         ,QN07,Queens,"20,479","2,287",523,"12,876",8,"3,130",807
2013,St. Albans                                                     ,QN08,Queens,"52,999","3,681",613,"46,457",38,763,"1,214"
2013,Breezy Point-Belle Harbor-Rockaway Park-Broad                  ,QN10,Queens,"29,464","3,456","22,927","2,184",8,570,"1,423"
2013,Hammels-Arverne-Edgemere                                       ,QN12,Queens,"36,255","9,260","6,172","18,472",0,"1,426","3,319"
2013,Far Rockaway-Bayswater                                         ,QN15,Queens,"50,314","12,915","13,295","21,733",96,"1,206","2,235"
2013,Forest Hills                                                   ,QN17,Queens,"84,378","11,025","48,721","2,262",192,"20,251","2,853"
2013,Rego Park                                                      ,QN18,Queens,"27,895","5,015","13,232",571,64,"8,068",948
2013,Glendale                                                       ,QN19,Queens,"31,948","11,256","18,905",280,101,"1,146","5,323"
2013,Ridgewood                                                      ,QN20,Queens,"69,901","35,589","26,654","1,327",66,"5,656","14,524"
2013,Middle Village                                                 ,QN21,Queens,"38,960","5,985","29,358",381,0,"3,082","1,964"
2013,Flushing                                                       ,QN22,Queens,"68,902","10,937","6,429","2,536",599,"46,439","1,943"
2013,College Point                                                  ,QN23,Queens,"24,470","9,292","6,789",545,121,"7,301",828
2013,Corona                                                         ,QN25,Queens,"56,319","34,214","5,082","8,473",0,"7,943","2,329"
2013,North Corona                                                   ,QN26,Queens,"51,847","44,775",806,"2,043",62,"3,896",869
2013,East Elmhurst                                                  ,QN27,Queens,"23,743","15,544","1,056","5,712",0,"1,087",609
2013,Jackson Heights                                                ,QN28,Queens,"105,339","58,627","17,061","1,903",325,"24,657","4,083"
2013,Elmhurst                                                       ,QN29,Queens,"85,855","37,502","5,487","1,289",162,"39,854","1,476"
2013,Maspeth                                                        ,QN30,Queens,"27,811","7,772","16,242",233,18,"3,239","1,718"
2013,Hunters Point-Sunnyside-West Maspeth                           ,QN31,Queens,"61,565","20,575","22,570","1,083",28,"15,866","2,834"
2013,Cambria Heights                                                ,QN33,Queens,"19,614",863,291,"17,710",99,352,131
2013,Queens Village                                                 ,QN34,Queens,"57,958","10,343","3,115","28,501",96,"10,750","2,361"
2013,Briarwood-Jamaica Hills                                        ,QN35,Queens,"38,685","10,648","8,081","4,179",6,"13,262","1,642"
2013,Kew Gardens Hills                                              ,QN37,Queens,"38,218","5,184","19,416","2,943",47,"8,962","1,106"
